Unique #,Label,L,a,b,RoundedLab,H1,H2,V,C,Munsell Value,Decimal Hue,Nominal H1,Nominal H2,Nominal V,Nominal C,Nominal Munsell Value,Nominal Decimal Hue,Nominal Munsell Verbal,Delta E,40 Hue
0,Seashell,95.14,-0.0,-0.0,L95 A0 B0,0.0,G,9.5,0.0,0.0G 9.5/0.0,40.0,2.5,G,9,0,2.5G 9/0,42.5,"very light, neutral, green lightly tinged with yellow",45.0,18
0,Abbey,33.56,0.4,-4.53,L34 A0 B-5,6.4,PB,3.4,0.9,6.4PB 3.4/0.9,76.4,7.5,PB,3,1,7.5PB 3/1,77.5,"dark, very weak, violet",15.29,6
0,Abbey,45.03,23.22,-31.32,L45 A23 B-31,5.2,P,4.5,7.8,5.2P 4.5/7.8,85.2,5,P,4,8,5P 4/8,85,"middle, moderate, purple",31.49,13
0,Abbey Stone,68.91,-2.46,9.16,L69 A-2 B9,9.2,Y,6.9,1.9,9.2Y 6.9/1.9,29.2,10,Y,7,2,10Y 7/2,30,"light, weak, yellow lightly tinged with green",38.56,15
0,ABSINTHE,76.81,-20.46,52.85,L77 A-20 B53,0.9,GY,7.7,11.3,0.9GY 7.7/11.3,30.9,2.5,GY,8,10,2.5GY 8/10,32.5,"light, strong, green yellow",80.3,32
0,absinthe green,66.32,-7.0,23.3,L66 A-7 B23,9.6,Y,6.6,4.9,9.6Y 6.6/4.9,29.6,10,Y,7,5,10Y 7/5,30,"light, , yellow lightly tinged with green",48.03,19
0,Absinthe green,66.97,-9.9,36.19,L67 A-10 B36,9.2,Y,6.7,7.5,9.2Y 6.7/7.5,29.2,10,Y,7,7,10Y 7/7,30,"light, moderate, yellow lightly tinged with green",57.67,23
0,Absinthe [green],85.99,-16.05,45.02,L86 A-16 B45,0.5,GY,8.6,9.6,0.5GY 8.6/9.6,30.5,2.5,GY,9,10,2.5GY 9/10,32.5,"very light, strong, green yellow",75.85,30
0,Absinthe green,68.53,-33.61,19.35,L69 A-34 B19,1.7,G,6.9,7.8,1.7G 6.9/7.8,41.7,2.5,G,7,8,2.5G 7/8,42.5,"light, moderate, green lightly tinged with yellow",71.29,29
0,ABSINTHE YELLOW,73.89,5.89,46.88,L74 A6 B47,3.0,Y,7.4,9.4,3.0Y 7.4/9.4,23.0,2.5,Y,7,9,2.5Y 7/9,22.5,"light, strong, orangeish red",55.18,22
