Unique #,Label,L,a,b,RoundedLab,H1,H2,V,C
nan,cacao brown,51.83,28.67,33.44,L52 A29 B33,3.7,YR,5.2,8.8
nan,cactus [green],53.87,-5.71,8.84,L54 A-6 B9,4.1,GY,5.4,2.1
nan,cactus flower,45.26,49.88,-3.46,L45 A50 B-3,8.9,RP,4.5,10.0
nan,cadet blue,46.38,-2.15,-36.98,L46 A-2 B-37,4.1,PB,4.6,7.4
nan,[pale] cadet blue,71.89,-2.83,-24.18,L72 A-3 B-24,3.1,PB,7.2,4.9
nan,cadet gray,61.73,-5.45,-10.48,L62 A-5 B-10,7.4,B,6.2,2.4
nan,cadmium green,71.0,-25.0,63.0,L71 A-25 B63,1.0,GY,7.1,13.6
nan,cadmium lemon [yellow],90.0,-5.0,86.0,L90 A-5 B86,5.9,Y,9.0,17.2
nan,cadmium orange,59.0,46.0,48.0,L59 A46 B48,2.8,YR,5.9,13.3
nan,cadmium red,51.0,60.0,31.0,L51 A60 B31,7.6,R,5.1,13.5
nan,cadmium yellow,78.0,11.0,80.0,L78 A11 B80,2.8,Y,7.8,16.1
nan,calabash,72.33,18.69,12.96,L72 A19 B13,9.7,R,7.2,4.5
nan,calamine blue,77.42,-15.3,-6.89,L77 A-15 B-7,6.7,BG,7.7,3.4
nan,Caledonian brown,41.62,24.56,31.02,L42 A25 B31,4.3,YR,4.2,7.9
nan,California color,43.66,14.35,28.64,L44 A14 B29,7.6,YR,4.4,6.4
nan,calla green,44.67,-7.58,24.07,L45 A-8 B24,9.9,Y,4.5,5.0
nan,camel,63.68,9.38,18.87,L64 A9 B19,7.7,YR,6.4,4.2
nan,camellia [red],54.86,54.8,29.83,L55 A55 B30,7.9,R,5.5,12.5
nan,camellia rose,75.02,42.34,10.84,L75 A42 B11,4.0,R,7.5,8.7
nan,cameo,84.49,10.38,25.34,L84 A10 B25,8.8,YR,8.4,5.5
nan,cameo brown,42.73,14.28,12.95,L43 A14 B13,1.7,YR,4.3,3.9
nan,cameo green,76.36,-12.98,6.98,L76 A-13 B7,2.1,G,7.6,2.9
nan,cameo blue,76.01,-18.74,-3.67,L76 A-19 B-4,3.1,BG,7.6,3.8
nan,cameo violet,45.56,16.35,-0.61,L46 A16 B-1,9.4,RP,4.6,3.3
nan,cameo pink,69.11,20.32,0.21,L69 A20 B0,0.2,R,6.9,4.1
nan,camouflage red,36.86,18.2,16.07,L37 A18 B16,1.5,YR,3.7,4.9
nan,camouflage desert sand,62.22,9.67,15.91,L62 A10 B16,6.3,YR,6.2,3.7
nan,camouflage earth brown,35.27,6.16,11.01,L35 A6 B11,6.9,YR,3.5,2.5
