Unique #,Label,L,a,b,Rounded Lab,Munsell,H1,H2,V,C
nan,Abbey,33.56,0.40,-4.53,L33 A0 B-4,['2.5PB 3/2'],6.5,PB,3,1
nan,Abbey,45.03,23.22,-31.32,L45 A23 B-31,['2.5P 4/8'],5.0,P,5,8
nan,Abbey Stone,68.91,-2.46,9.16,L68 A-2 B9,['2.5Y 7/2'],9.0,Y,7,2
nan,ABSINTHE,76.81,-20.46,52.85,L76 A-20 B52,['2.5GY 8/8'],1.0,GY,8,11
nan,absinthe green,66.32,-7.00,23.30,L66 A-7 B23,['10Y 6/4'],9.5,Y,7,5
nan,Absinthe green,66.97,-9.90,36.19,L66 A-9 B36,['10Y 7/4'],9.5,Y,7,8
nan,Absinthe [green],85.99,-16.05,45.02,L85 A-16 B45,['2.5GY 9/6'],10.0,GY,9,10
nan,Absinthe green,68.53,-33.61,19.35,L68 A-33 B19,['2.5G 7/6'],1.5,G,7,8
nan,ABSINTHE YELLOW,73.89,5.89,46.88,L73 A5 B46,['10YR 7/8'],3.0,Y,7,9
nan,Absinthe yellow,67.22,1.17,39.49,L67 A1 B39,['2.5Y 7/6'],4.5,Y,7,8
nan,absinthe yellow,74.88,-3.46,44.73,L74 A-3 B44,['5Y 7/6'],6.0,Y,7,9
nan,ABSTRACT BLUE,64.93,-2.15,-5.01,L64 A-2 B-5,['10B 6/2'],8.5,B,6,1
nan,ABYSS,57.30,-10.30,7.53,L57 A-10 B7,['10GY 6/2'],10.0,GY,6,3
nan,abyss blue (gs),31.79,-10.21,-6.58,L31 A-10 B-6,['10BG 3/2'],9.0,BG,3,2
nan,Abyss,61.25,-6.22,-3.01,L61 A-6 B-3,['2.5B 6/2'],7.0,BG,6,1
nan,Blue abysse (blue abyss),16.00,2.41,-18.11,L16 A2 B-18,['5PB 2/4'],7.0,PB,2,4
nan,Acacia,85.29,-4.62,54.32,L85 A-4 B54,['5Y 8/8'],6.5,Y,9,11
nan,Acacia,74.53,-4.20,51.50,L74 A-4 B51,['5Y 7/8'],6.5,Y,7,10
nan,ACACIA,57.23,-11.87,7.35,L57 A-11 B7,['2.5G 6/2'],1.0,G,6,3
nan,Acacia,34.42,37.15,1.05,L34 A37 B1,['7.5RP 3/8'],10.0,R,3,7
nan,acacia brown,61.00,22.00,26.00,L61 A22 B26,['2.5YR 6/6'],4.0,YR,6,7
nan,ACACIA gray,55.58,-8.63,5.86,L55 A-8 B5,['2.5G 5/2'],0.5,G,6,2
nan,ACACIA GREEN,64.23,-8.28,6.94,L64 A-8 B6,['10GY 6/2'],9.0,GY,6,2
nan,Academy blue,46.23,-25.08,-16.88,L46 A-25 B-16,['10BG 5/6'],9.5,BG,5,6
nan,Acai,23.98,22.90,-23.51,L23 A22 B-23,['2.5P 2/6'],7.5,P,2,7
nan,Acai,31.00,29.00,-5.00,L31 A29 B-5,['5RP 3/6'],7.5,RP,3,6
nan,Acajou,38.07,32.13,21.02,L38 A32 B21,['7.5R 4/8'],9.0,R,4,8
nan,acajou (fr),40.31,34.06,30.16,L40 A34 B30,['10R 4/8'],1.5,YR,4,9
nan,acajou (fr),32.99,26.86,19.68,L32 A26 B19,['10R 3/6'],10.0,YR,3,7
nan,acajou (fr),33.85,31.19,25.49,L33 A31 B25,['10R 3/8'],1.0,YR,3,8
nan,acajou (fr),34.92,33.03,27.72,L34 A33 B27,['10R 3/8'],1.0,YR,3,9
nan,Acajou,42.00,25.00,41.00,L42 A25 B41,['5YR 4/8'],6.5,YR,4,10
nan,Acajou,51.71,23.49,50.29,L51 A23 B50,['5YR 5/10'],8.0,YR,5,11
nan,Acajou red,43.94,32.22,11.51,L43 A32 B11,['2.5R 4/8'],5.5,R,4,7
nan,Acanthe,43.66,10.78,28.53,L43 A10 B28,['10YR 4/4'],9.5,YR,4,6
nan,Acapulco,67.95,-20.42,2.19,L67 A-20 B2,['2.5BG 7/4'],8.5,G,7,4
nan,Acetin blue,36.17,2.26,-17.57,L36 A2 B-17,['5PB 4/4'],7.0,PB,4,4
nan,Acid green,75.61,-11.94,71.32,L75 A-11 B71,['7.5Y 8/10'],7.5,Y,8,14
nan,acid green,71.00,-25.00,63.00,L71 A-25 B63,['5GY 7/10'],1.0,GY,7,14
nan,acid green,80.41,-66.86,64.70,L80 A-66 B64,['10GY 8/14'],8.0,GY,8,19
nan,Acier,70.00,0.00,0.00,L70 A0 B0,['2.5PB 7/2'],10.0,RP,7,N
nan,Acier,68.28,-0.55,13.39,L68 A0 B13,['2.5Y 7/2'],5.5,Y,7,3
